primary_label,latitude,longitude,scientific_name,common_name,date,season
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-03-31,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-04-05,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-04-06,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-04-06,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2011-04-25,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-05-01,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-05-03,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-05-04,Spring
amerob,41.1955,-73.8678,Turdus migratorius,American Robin,2011-05-06,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2013-05-27,Spring
amerob,48.4899,-123.344,Turdus migratorius,American Robin,2011-03-03,Spring
amerob,48.4832,-123.3604,Turdus migratorius,American Robin,2011-03-28,Spring
amerob,51.7772,-103.5795,Turdus migratorius,American Robin,2013-07-02,Summer
amerob,34.2567,-112.0659,Turdus migratorius,American Robin,2014-01-07,Winter
amerob,51.7772,-103.5795,Turdus migratorius,American Robin,2013-06-16,Summer
amerob,52.1125,-106.6631,Turdus migratorius,American Robin,2013-05-07,Spring
amerob,28.6456,-80.7199,Turdus migratorius,American Robin,2014-01-14,Winter
amerob,28.4927,-80.7246,Turdus migratorius,American Robin,2014-01-17,Winter
amerob,31.874,-109.1825,Turdus migratorius,American Robin,2013-04-23,Spring
amerob,32.982,-116.574,Turdus migratorius,American Robin,2012-03-15,Spring
amerob,32.8706,-116.4247,Turdus migratorius,American Robin,2012-12-03,Winter
amerob,32.8706,-116.4247,Turdus migratorius,American Robin,2012-12-03,Winter
amerob,40.496,-107.2517,Turdus migratorius,American Robin,2012-04-01,Spring
amerob,43.1546,-91.2386,Turdus migratorius,American Robin,2011-05-22,Spring
amerob,28.4927,-80.7246,Turdus migratorius,American Robin,2014-01-20,Winter
amerob,46.0275,-68.931,Turdus migratorius,American Robin,2012-06-04,Summer
amerob,44.8501,-67.1944,Turdus migratorius,American Robin,2012-06-05,Summer
amerob,44.8501,-67.1944,Turdus migratorius,American Robin,2012-06-07,Summer
amerob,44.5648,-84.2583,Turdus migratorius,American Robin,2011-05-15,Spring
amerob,44.5648,-84.2583,Turdus migratorius,American Robin,2011-05-16,Spring
amerob,44.5648,-84.2583,Turdus migratorius,American Robin,2011-05-16,Spring
amerob,48.4533,-115.3354,Turdus migratorius,American Robin,2011-06-03,Summer
amerob,42.5128,-71.6189,Turdus migratorius,American Robin,2012-05-16,Spring
amerob,43.2244,-96.58,Turdus migratorius,American Robin,2013-05-20,Spring
amerob,43.2244,-96.58,Turdus migratorius,American Robin,2013-05-20,Spring
amerob,44.5412,-72.8089,Turdus migratorius,American Robin,2012-05-31,Spring
amerob,44.5412,-72.8089,Turdus migratorius,American Robin,2012-05-31,Spring
amerob,44.5412,-72.8089,Turdus migratorius,American Robin,2012-05-31,Spring
amerob,43.3421,-72.5063,Turdus migratorius,American Robin,2012-05-13,Spring
amerob,43.3969,-89.8118,Turdus migratorius,American Robin,2011-05-17,Spring
amerob,43.3969,-89.8118,Turdus migratorius,American Robin,2011-05-17,Spring
amerob,43.3969,-89.8118,Turdus migratorius,American Robin,2011-05-17,Spring
amerob,45.8321,-88.9155,Turdus migratorius,American Robin,2011-05-24,Spring
amerob,45.8321,-88.9155,Turdus migratorius,American Robin,2011-05-24,Spring
amerob,40.1175,-75.0627,Turdus migratorius,American Robin,2006-05-25,Spring
amerob,40.1175,-75.0627,Turdus migratorius,American Robin,2006-05-25,Spring
amerob,42.0778,-83.1995,Turdus migratorius,American Robin,2007-03-06,Spring
amerob,42.1059,-83.3164,Turdus migratorius,American Robin,2007-03-23,Spring
amerob,42.1059,-83.3164,Turdus migratorius,American Robin,2007-04-24,Spring
amerob,43.0501,-82.5928,Turdus migratorius,American Robin,2007-05-20,Spring
amerob,39.9976,-105.1179,Turdus migratorius,American Robin,2014-03-31,Spring
amerob,47.6308,-122.3152,Turdus migratorius,American Robin,2014-04-01,Spring
amerob,39.6564,-120.5342,Turdus migratorius,American Robin,2012-06-22,Summer
amerob,40.0329,-105.2916,Turdus migratorius,American Robin,2013-03-28,Spring
amerob,45.4082,-73.933,Turdus migratorius,American Robin,2014-04-06,Spring
amerob,45.4082,-73.9331,Turdus migratorius,American Robin,2014-04-07,Spring
amerob,39.4025,-107.5255,Turdus migratorius,American Robin,2013-06-18,Summer
amerob,39.8239,-105.1538,Turdus migratorius,American Robin,2014-04-06,Spring
amerob,44.942,-93.259,Turdus migratorius,American Robin,2014-04-16,Spring
amerob,47.6297,-122.3138,Turdus migratorius,American Robin,2014-04-08,Spring
amerob,47.6324,-122.3073,Turdus migratorius,American Robin,2014-04-11,Spring
amerob,44.5429,-92.8027,Turdus migratorius,American Robin,2014-04-18,Spring
amerob,35.6078,-83.447,Turdus migratorius,American Robin,2014-04-21,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2014-05-02,Spring
amerob,41.8817,-72.2826,Turdus migratorius,American Robin,2014-05-05,Spring
amerob,35.0307,-120.6205,Turdus migratorius,American Robin,2014-05-04,Spring
amerob,49.0802,-125.7755,Turdus migratorius,American Robin,2014-05-04,Spring
amerob,40.6409,-104.3397,Turdus migratorius,American Robin,2014-06-04,Summer
amerob,40.6409,-104.3397,Turdus migratorius,American Robin,2014-06-03,Summer
amerob,40.6409,-104.3397,Turdus migratorius,American Robin,2014-06-03,Summer
amerob,49.0715,-106.5309,Turdus migratorius,American Robin,2014-06-07,Summer
amerob,37.5226,-122.3423,Turdus migratorius,American Robin,1995-05-21,Spring
amerob,37.5226,-122.3423,Turdus migratorius,American Robin,1995-05-21,Spring
amerob,51.2418,-115.84,Turdus migratorius,American Robin,2014-06-09,Summer
amerob,51.2418,-115.84,Turdus migratorius,American Robin,2014-06-10,Summer
amerob,55.5267,-120.0314,Turdus migratorius,American Robin,2014-06-13,Summer
amerob,59.0988,-123.4621,Turdus migratorius,American Robin,2014-06-15,Summer
amerob,59.0988,-123.4621,Turdus migratorius,American Robin,2014-06-15,Summer
amerob,59.0988,-123.4621,Turdus migratorius,American Robin,2014-06-15,Summer
amerob,56.327,-120.9521,Turdus migratorius,American Robin,2014-06-17,Summer
amerob,56.327,-120.9521,Turdus migratorius,American Robin,2014-06-17,Summer
amerob,40.1175,-75.0627,Turdus migratorius,American Robin,2014-08-10,Summer
amerob,41.2879,-73.7851,Turdus migratorius,American Robin,2014-08-09,Summer
amerob,55.5335,-123.3023,Turdus migratorius,American Robin,2014-06-21,Summer
amerob,55.937,-130.0003,Turdus migratorius,American Robin,2014-06-23,Summer
amerob,46.9998,-69.9631,Turdus migratorius,American Robin,2014-07-20,Summer
amerob,35.5621,-97.6129,Turdus migratorius,American Robin,2014-11-06,Fall
amerob,40.8643,-73.6537,Turdus migratorius,American Robin,2013-06-30,Summer
amerob,33.9744,-111.8667,Turdus migratorius,American Robin,2014-11-25,Fall
amerob,39.0405,-107.9873,Turdus migratorius,American Robin,2014-05-28,Spring
amerob,63.7867,-151.6166,Turdus migratorius,American Robin,2013-06-08,Summer
amerob,56.7264,-111.3803,Turdus migratorius,American Robin,2014-05-14,Spring
amerob,32.5052,-93.7034,Turdus migratorius,American Robin,2013-04-10,Spring
amerob,29.584,-95.6111,Turdus migratorius,American Robin,2015-03-25,Spring
amerob,29.584,-95.6111,Turdus migratorius,American Robin,2015-03-25,Spring
amerob,40.8881,-73.5851,Turdus migratorius,American Robin,2015-03-12,Spring
amerob,40.8881,-73.5851,Turdus migratorius,American Robin,2015-03-12,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2015-04-03,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2015-04-03,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2015-04-03,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2015-04-03,Spring
amerob,41.1987,-73.8832,Turdus migratorius,American Robin,2015-04-04,Spring
amerob,44.3211,-78.3264,Turdus migratorius,American Robin,2015-04-12,Spring
amerob,19.6619,-100.2926,Turdus migratorius,American Robin,2011-10-30,Fall
amerob,44.3211,-78.3264,Turdus migratorius,American Robin,2015-05-26,Spring
amerob,62.403,-143.665,Turdus migratorius,American Robin,2015-05-07,Spring
amerob,39.1759,-119.562,Turdus migratorius,American Robin,2015-06-23,Summer
amerob,43.719,-103.4808,Turdus migratorius,American Robin,2015-06-23,Summer
amerob,43.719,-103.4808,Turdus migratorius,American Robin,2015-06-23,Summer
amerob,58.6815,-156.6688,Turdus migratorius,American Robin,2015-07-27,Summer
amerob,37.7453,-122.4307,Turdus migratorius,American Robin,2015-08-02,Summer
amerob,63.9716,-151.603,Turdus migratorius,American Robin,2015-06-22,Summer
amerob,63.5422,-150.9973,Turdus migratorius,American Robin,2015-06-05,Summer
amerob,63.7087,-149.4965,Turdus migratorius,American Robin,2012-05-06,Spring
amerob,63.7087,-149.4965,Turdus migratorius,American Robin,2012-05-14,Spring
amerob,63.7087,-149.4965,Turdus migratorius,American Robin,2012-05-16,Spring
amerob,62.3674,-143.3518,Turdus migratorius,American Robin,2015-04-25,Spring
amerob,62.3674,-143.3518,Turdus migratorius,American Robin,2015-05-06,Spring
amerob,62.3674,-143.3518,Turdus migratorius,American Robin,2015-05-06,Spring
amerob,40.8708,-73.5398,Turdus migratorius,American Robin,2015-04-08,Spring
amerob,40.8708,-73.5398,Turdus migratorius,American Robin,2015-04-08,Spring
amerob,40.8708,-73.5398,Turdus migratorius,American Robin,2015-04-08,Spring
amerob,31.8687,-109.1882,Turdus migratorius,American Robin,2012-05-22,Spring
amerob,61.124,-151.1033,Turdus migratorius,American Robin,2015-05-01,Spring
amerob,61.124,-151.1033,Turdus migratorius,American Robin,2015-05-01,Spring
amerob,40.1175,-75.0627,Turdus migratorius,American Robin,2015-10-13,Fall
amerob,32.7617,-108.2673,Turdus migratorius,American Robin,2015-10-25,Fall
amerob,33.9329,-112.6948,Turdus migratorius,American Robin,2013-03-10,Spring
amerob,46.9872,-70.5887,Turdus migratorius,American Robin,2015-06-28,Summer
amerob,43.4685,-110.791,Turdus migratorius,American Robin,2015-06-02,Summer
amerob,56.7264,-111.3803,Turdus migratorius,American Robin,2015-05-06,Spring
amerob,56.7264,-111.3803,Turdus migratorius,American Robin,2015-05-07,Spring
amerob,19.176,-99.178,Turdus migratorius,American Robin,2015-12-17,Winter
amerob,19.0899,-99.1823,Turdus migratorius,American Robin,2015-12-28,Winter
amerob,48.5473,-53.9782,Turdus migratorius,American Robin,2015-06-11,Summer
amerob,40.5686,-105.1283,Turdus migratorius,American Robin,2016-01-10,Winter
amerob,38.7937,-89.2955,Turdus migratorius,American Robin,2015-03-01,Spring
amerob,48.6611,-123.4114,Turdus migratorius,American Robin,2013-02-08,Winter
amerob,19.392,-99.241,Turdus migratorius,American Robin,2016-03-13,Spring
amerob,19.392,-99.241,Turdus migratorius,American Robin,2016-03-13,Spring
amerob,34.3665,-89.5192,Turdus migratorius,American Robin,2016-03-17,Spring
amerob,34.3665,-89.5192,Turdus migratorius,American Robin,2016-03-26,Spring
amerob,34.3665,-89.5192,Turdus migratorius,American Robin,2016-03-26,Spring
amerob,42.7372,-83.2314,Turdus migratorius,American Robin,2016-03-27,Spring
amerob,34.3665,-89.5192,Turdus migratorius,American Robin,2016-04-01,Spring
amerob,41.8605,-88.1756,Turdus migratorius,American Robin,2016-04-21,Spring
amerob,41.8605,-88.1756,Turdus migratorius,American Robin,2016-04-20,Spring
amerob,42.0949,-79.1442,Turdus migratorius,American Robin,2016-04-23,Spring
amerob,34.3665,-89.5192,Turdus migratorius,American Robin,2016-04-27,Spring
amerob,17.1739,-96.6045,Turdus migratorius,American Robin,2000-03-17,Spring
amerob,42.7372,-83.2314,Turdus migratorius,American Robin,2016-04-17,Spring
amerob,42.7372,-83.2314,Turdus migratorius,American Robin,2016-04-17,Spring
amerob,38.9244,-77.0443,Turdus migratorius,American Robin,2016-05-31,Spring
amerob,40.4123,-105.7331,Turdus migratorius,American Robin,2016-05-30,Spring
amerob,37.9876,-84.4219,Turdus migratorius,American Robin,2015-03-14,Spring
amerob,39.1742,-75.5424,Turdus migratorius,American Robin,2016-06-07,Summer
amerob,40.4404,-105.0609,Turdus migratorius,American Robin,2016-04-06,Spring
amerob,39.1742,-75.5424,Turdus migratorius,American Robin,2016-06-10,Summer
amerob,40.405,-105.1538,Turdus migratorius,American Robin,2016-06-16,Summer
amerob,31.933,-109.264,Turdus migratorius,American Robin,2015-05-20,Spring
amerob,32.6531,-109.8576,Turdus migratorius,American Robin,2015-06-04,Summer
amerob,32.6531,-109.8576,Turdus migratorius,American Robin,2015-06-04,Summer
amerob,32.6531,-109.8576,Turdus migratorius,American Robin,2015-06-04,Summer
amerob,32.6531,-109.8576,Turdus migratorius,American Robin,2015-06-03,Summer
amerob,39.1742,-75.5424,Turdus migratorius,American Robin,2016-06-19,Summer
amerob,37.5873,-105.1864,Turdus migratorius,American Robin,2016-06-11,Summer
amerob,42.7372,-83.2314,Turdus migratorius,American Robin,2016-06-12,Summer
amerob,42.7034,-83.1539,Turdus migratorius,American Robin,2016-06-09,Summer
amerob,39.1742,-75.5424,Turdus migratorius,American Robin,2016-06-20,Summer
amerob,54.0115,-122.5779,Turdus migratorius,American Robin,2016-06-24,Summer
amerob,37.5873,-105.1864,Turdus migratorius,American Robin,2016-06-11,Summer
amerob,44.3211,-78.3264,Turdus migratorius,American Robin,2016-06-27,Summer
amerob,41.0536,-73.5443,Turdus migratorius,American Robin,2016-03-16,Spring
amerob,35.1084,-80.9483,Turdus migratorius,American Robin,2013-04-25,Spring
amerob,42.7281,-83.199,Turdus migratorius,American Robin,2016-07-22,Summer
amerob,45.0889,-74.2627,Turdus migratorius,American Robin,2016-06-04,Summer
amerob,28.1688,-108.2081,Turdus migratorius,American Robin,2013-08-14,Summer
amerob,47.7006,-122.3108,Turdus migratorius,American Robin,2015-05-17,Spring
amerob,39.1742,-75.5424,Turdus migratorius,American Robin,2016-07-21,Summer
amerob,36.1916,-117.0854,Turdus migratorius,American Robin,1995-05-20,Spring
amerob,36.1916,-117.0854,Turdus migratorius,American Robin,1995-05-20,Spring
amerob,34.2191,-116.9728,Turdus migratorius,American Robin,1995-06-22,Summer
amerob,32.7132,-117.242,Turdus migratorius,American Robin,2000-06-25,Summer
amerob,34.186,-116.9004,Turdus migratorius,American Robin,2001-06-04,Summer
amerob,34.186,-116.9004,Turdus migratorius,American Robin,2001-06-03,Summer
amerob,27.118,-108.723,Turdus migratorius,American Robin,2016-03-22,Spring
amerob,40.092,-75.4258,Turdus migratorius,American Robin,2017-01-18,Winter
amerob,39.9936,-105.0897,Turdus migratorius,American Robin,2017-03-28,Spring
amerob,39.9936,-105.0897,Turdus migratorius,American Robin,2017-03-28,Spring
amerob,39.9936,-105.0897,Turdus migratorius,American Robin,2017-03-28,Spring
amerob,37.9876,-84.4219,Turdus migratorius,American Robin,2015-03-14,Spring
amerob,41.7826,-72.2027,Turdus migratorius,American Robin,2017-04-24,Spring
amerob,37.209,-93.2923,Turdus migratorius,American Robin,2017-05-06,Spring
amerob,40.3906,-104.0732,Turdus migratorius,American Robin,2017-04-01,Spring
amerob,40.3906,-104.0732,Turdus migratorius,American Robin,2017-04-01,Spring
amerob,37.6994,-108.1782,Turdus migratorius,American Robin,2016-06-24,Summer
amerob,46.8417,-110.6954,Turdus migratorius,American Robin,2017-05-06,Spring
amerob,47.657,-70.1522,Turdus migratorius,American Robin,2017-06-10,Summer
amerob,44.7119,-84.6644,Turdus migratorius,American Robin,2017-06-05,Summer
amerob,33.058,-109.0713,Turdus migratorius,American Robin,2017-05-27,Spring
amerob,42.019,-72.1109,Turdus migratorius,American Robin,2017-05-27,Spring
amerob,35.332,-120.415,Turdus migratorius,American Robin,2017-06-20,Summer
amerob,39.6788,-120.3144,Turdus migratorius,American Robin,2000-06-13,Summer
amerob,53.3017,-60.3261,Turdus migratorius,American Robin,2017-05-30,Spring
amerob,39.698,-120.453,Turdus migratorius,American Robin,2000-06-14,Summer
amerob,39.698,-120.453,Turdus migratorius,American Robin,2000-06-14,Summer
amerob,39.698,-120.453,Turdus migratorius,American Robin,2000-06-14,Summer
amerob,29.6884,-95.4228,Turdus migratorius,American Robin,2017-07-16,Summer
amerob,38.0157,-84.5052,Turdus migratorius,American Robin,2015-05-05,Spring
amerob,38.0266,-84.3217,Turdus migratorius,American Robin,2015-07-10,Summer
amerob,42.7335,-83.0753,Turdus migratorius,American Robin,2015-06-12,Summer
amerob,42.7865,-83.1459,Turdus migratorius,American Robin,2016-05-26,Spring
amerob,53.3017,-60.3261,Turdus migratorius,American Robin,2016-05-19,Spring
amerob,40.5954,-105.0785,Turdus migratorius,American Robin,2017-05-21,Spring
amerob,40.7457,-74.0235,Turdus migratorius,American Robin,2017-06-02,Summer
amerob,19.391,-99.2439,Turdus migratorius,American Robin,2018-01-07,Winter
amerob,19.391,-99.2439,Turdus migratorius,American Robin,2018-01-07,Winter
amerob,25.2789,-100.9105,Turdus migratorius,American Robin,2018-02-14,Winter
amerob,25.2789,-100.9105,Turdus migratorius,American Robin,2018-02-14,Winter
amerob,64.5035,-165.4053,Turdus migratorius,American Robin,2017-06-06,Summer
amerob,61.2339,-149.2707,Turdus migratorius,American Robin,2017-06-19,Summer
amerob,42.0337,-79.4512,Turdus migratorius,American Robin,2015-04-18,Spring
amerob,41.9049,-88.2086,Turdus migratorius,American Robin,2018-04-03,Spring
amerob,35.2891,-82.4345,Turdus migratorius,American Robin,2018-05-21,Spring
amerob,53.8995,-123.3304,Turdus migratorius,American Robin,2018-05-21,Spring
amerob,41.7819,-88.3992,Turdus migratorius,American Robin,2018-05-26,Spring
amerob,53.4812,-123.1137,Turdus migratorius,American Robin,2018-06-01,Summer
amerob,36.4195,-115.7646,Turdus migratorius,American Robin,2018-05-08,Spring
amerob,39.5696,-119.6918,Turdus migratorius,American Robin,2018-06-02,Summer
amerob,42.5285,-76.7892,Turdus migratorius,American Robin,2018-06-17,Summer
amerob,42.3306,-76.3351,Turdus migratorius,American Robin,2018-06-17,Summer
amerob,38.3075,-119.4144,Turdus migratorius,American Robin,2018-06-20,Summer
amerob,42.3854,-76.35,Turdus migratorius,American Robin,2018-06-24,Summer
amerob,40.9382,-73.8321,Turdus migratorius,American Robin,2018-06-20,Summer
amerob,40.9382,-73.8321,Turdus migratorius,American Robin,2018-06-20,Summer
amerob,40.9461,-73.8013,Turdus migratorius,American Robin,2018-06-26,Summer
amerob,53.8684,-122.7478,Turdus migratorius,American Robin,2018-07-07,Summer
amerob,42.4292,-76.4715,Turdus migratorius,American Robin,2018-07-01,Summer
amerob,37.7453,-122.4307,Turdus migratorius,American Robin,2018-11-02,Fall
amerob,38.8803,-77.0389,Turdus migratorius,American Robin,2018-12-01,Winter
amerob,38.8803,-77.0389,Turdus migratorius,American Robin,2018-12-01,Winter
amerob,38.9776,-121.1501,Turdus migratorius,American Robin,2017-04-21,Spring
amerob,38.2465,-121.4108,Turdus migratorius,American Robin,2018-05-27,Spring
amerob,46.6631,-109.1577,Turdus migratorius,American Robin,2015-06-11,Summer
amerob,38.526,-121.0877,Turdus migratorius,American Robin,2017-02-24,Winter
amerob,28.3714,-109.0318,Turdus migratorius,American Robin,2018-07-29,Summer
amerob,28.3714,-109.0318,Turdus migratorius,American Robin,2018-07-28,Summer
amerob,28.3714,-109.0318,Turdus migratorius,American Robin,2018-07-28,Summer
amerob,28.3714,-109.0318,Turdus migratorius,American Robin,2018-05-16,Spring
amerob,19.392,-99.241,Turdus migratorius,American Robin,2019-01-01,Winter
amerob,19.392,-99.241,Turdus migratorius,American Robin,2019-01-01,Winter
amerob,32.8814,-116.4632,Turdus migratorius,American Robin,2018-11-07,Fall
amerob,29.6689,-96.2668,Turdus migratorius,American Robin,2018-02-18,Winter
amerob,29.6689,-96.2668,Turdus migratorius,American Robin,2018-02-18,Winter
amerob,42.1104,-71.1785,Turdus migratorius,American Robin,2017-07-27,Summer
amerob,16.1445,-96.5009,Turdus migratorius,American Robin,2019-02-13,Winter
amerob,19.1466,-99.1682,Turdus migratorius,American Robin,2019-02-18,Winter
amerob,37.2602,-97.4172,Turdus migratorius,American Robin,2019-02-21,Winter
amerob,19.392,-99.241,Turdus migratorius,American Robin,2019-02-24,Winter
amerob,35.0898,-106.392,Turdus migratorius,American Robin,2017-02-14,Winter
amerob,36.0086,-106.0717,Turdus migratorius,American Robin,2019-03-17,Spring
amerob,45.3698,-75.7899,Turdus migratorius,American Robin,2019-03-17,Spring
amerob,33.7668,-116.7331,Turdus migratorius,American Robin,2019-03-23,Spring
amerob,42.7376,-84.4787,Turdus migratorius,American Robin,2019-03-29,Spring
amerob,35.9639,-87.1383,Turdus migratorius,American Robin,2019-04-01,Spring
amerob,35.9705,-87.1389,Turdus migratorius,American Robin,2019-04-02,Spring
amerob,49.2544,-123.1995,Turdus migratorius,American Robin,2019-03-21,Spring
amerob,49.2544,-123.1995,Turdus migratorius,American Robin,2019-03-21,Spring
amerob,49.2544,-123.1995,Turdus migratorius,American Robin,2019-03-21,Spring
amerob,37.2825,-97.3873,Turdus migratorius,American Robin,2019-03-25,Spring
amerob,47.0003,-123.0045,Turdus migratorius,American Robin,2019-04-02,Spring
amerob,23.6503,-109.9234,Turdus migratorius,American Robin,2019-02-21,Winter
amerob,23.6503,-109.9234,Turdus migratorius,American Robin,2019-02-21,Winter
amerob,19.392,-99.241,Turdus migratorius,American Robin,2019-04-13,Spring
amerob,40.7464,-73.9437,Turdus migratorius,American Robin,2019-04-14,Spring
amerob,48.1419,-69.6951,Turdus migratorius,American Robin,2018-06-02,Summer
amerob,43.0476,-76.0961,Turdus migratorius,American Robin,2019-04-20,Spring
amerob,41.9291,-99.309,Turdus migratorius,American Robin,2019-04-20,Spring
amerob,41.2534,-96.2468,Turdus migratorius,American Robin,2019-03-27,Spring
amerob,47.0864,-122.8483,Turdus migratorius,American Robin,2019-04-03,Spring
amerob,40.6331,-74.4196,Turdus migratorius,American Robin,2000-05-15,Spring
amerob,22.3673,-102.671,Turdus migratorius,American Robin,2019-04-28,Spring
amerob,47.1304,-122.8533,Turdus migratorius,American Robin,2019-05-01,Spring
amerob,40.6061,-74.2772,Turdus migratorius,American Robin,2019-05-15,Spring
amerob,41.9446,-82.5172,Turdus migratorius,American Robin,2019-05-17,Spring
amerob,41.9391,-82.5143,Turdus migratorius,American Robin,2019-05-14,Spring
amerob,62.4611,-114.3688,Turdus migratorius,American Robin,2019-05-26,Spring
amerob,42.3306,-76.3351,Turdus migratorius,American Robin,2019-06-07,Summer
amerob,43.6983,-72.294,Turdus migratorius,American Robin,2019-05-12,Spring
amerob,40.6052,-74.2495,Turdus migratorius,American Robin,2019-06-11,Summer
amerob,40.6052,-74.2495,Turdus migratorius,American Robin,2019-06-11,Summer
amerob,43.5788,-116.5598,Turdus migratorius,American Robin,2018-05-12,Spring
amerob,44.6107,-118.9967,Turdus migratorius,American Robin,2019-05-15,Spring
amerob,31.9237,-81.0559,Turdus migratorius,American Robin,2019-06-27,Summer
amerob,41.6372,-70.3354,Turdus migratorius,American Robin,2019-06-16,Summer
amerob,41.6372,-70.3354,Turdus migratorius,American Robin,2019-06-16,Summer
amerob,41.6371,-70.3354,Turdus migratorius,American Robin,2019-06-16,Summer
amerob,43.5788,-116.5598,Turdus migratorius,American Robin,2019-05-04,Spring
amerob,34.1615,-116.8724,Turdus migratorius,American Robin,2019-08-03,Summer
amerob,37.8932,-122.2436,Turdus migratorius,American Robin,2019-08-14,Summer
amerob,34.4487,-111.344,Turdus migratorius,American Robin,2019-08-24,Summer
amerob,35.0989,-106.4752,Turdus migratorius,American Robin,2019-08-26,Summer
amerob,39.6564,-120.5342,Turdus migratorius,American Robin,2013-06-14,Summer
